pr_id,n_comments,id,merged
2792145491,20,2792145491,0
2792149320,7,2792149320,0
2792386162,3,2792386162,1
2792408196,4,2792408196,0
2792408591,8,2792408591,1
2792640916,5,2792640916,0
2792917419,4,2792917419,0
2792918251,8,2792918251,0
2793512716,3,2793512716,1
2793548898,5,2793548898,0
2793592645,2,2793592645,0
2793729508,2,2793729508,0
2793852587,2,2793852587,0
2794276099,2,2794276099,0
2794323375,4,2794323375,1
2794424292,2,2794424292,0
2794549110,5,2794549110,1
2794616611,2,2794616611,0
2794784651,4,2794784651,0
2794907896,2,2794907896,1
2795084819,2,2795084819,1
2795172513,2,2795172513,1
2795821755,3,2795821755,1
2795913938,1,2795913938,0
2795922231,2,2795922231,0
2795930781,4,2795930781,1
2795968909,2,2795968909,0
2796002590,3,2796002590,1
2796009360,2,2796009360,0
2796014467,5,2796014467,0
2796059303,2,2796059303,0
2796796712,2,2796796712,1
2796839418,2,2796839418,1
2796914337,3,2796914337,0
2797184843,7,2797184843,0
2797405312,4,2797405312,0
2797475430,2,2797475430,1
2797482061,2,2797482061,1
2797482849,2,2797482849,0
2797849514,3,2797849514,1
2797854568,4,2797854568,0
2798295763,9,2798295763,1
2798302866,12,2798302866,0
2798447344,1,2798447344,0
2798574828,7,2798574828,0
2798738981,1,2798738981,0
2798748566,2,2798748566,1
2798930478,1,2798930478,0
2798936903,13,2798936903,0
2799046822,2,2799046822,1
2799104941,3,2799104941,0
2799121251,1,2799121251,1
2799205474,5,2799205474,1
2799230876,1,2799230876,1
2799302285,2,2799302285,1
2800258838,3,2800258838,0
2800344224,4,2800344224,0
2800769710,8,2800769710,0
2801019781,2,2801019781,1
2801155743,1,2801155743,0
2801228245,3,2801228245,0
2801240170,1,2801240170,0
2802180853,3,2802180853,1
2802381070,2,2802381070,0
2802417432,4,2802417432,1
2802436731,3,2802436731,0
2802453203,4,2802453203,0
2802488198,2,2802488198,0
2802753751,2,2802753751,0
2802889835,4,2802889835,0
2802903114,2,2802903114,0
2804518743,2,2804518743,0
2804519530,7,2804519530,1
2804526147,5,2804526147,1
2804813358,1,2804813358,0
2805386340,2,2805386340,0
2805430490,2,2805430490,0
2805690384,2,2805690384,1
2805732175,2,2805732175,0
2805924492,2,2805924492,0
2808529193,4,2808529193,0
2810378681,2,2810378681,1
2810425952,6,2810425952,1
2810812302,4,2810812302,0
2810841597,4,2810841597,0
2811838511,3,2811838511,0
2811839599,3,2811839599,1
2811840599,3,2811840599,0
2811841666,3,2811841666,0
2811843657,2,2811843657,1
2811845130,2,2811845130,0
2811846298,2,2811846298,1
2811847514,2,2811847514,1
2811904649,3,2811904649,0
2811914033,2,2811914033,1
2812036934,1,2812036934,0
2812241515,2,2812241515,0
2812241832,8,2812241832,0
2812399095,5,2812399095,0
2812509029,5,2812509029,0
2812962777,3,2812962777,1
2813742901,7,2813742901,0
2813961093,3,2813961093,0
2813970310,3,2813970310,1
2814132697,3,2814132697,1
2814173503,4,2814173503,0
2814227883,4,2814227883,0
2814276083,3,2814276083,1
2814329360,4,2814329360,0
2814377516,4,2814377516,0
2814448059,4,2814448059,0
2814467525,3,2814467525,0
2814483056,4,2814483056,0
2814487611,3,2814487611,1
2814535457,3,2814535457,0
2814622724,3,2814622724,0
2815602191,2,2815602191,0
2816232160,3,2816232160,0
2816307186,3,2816307186,0
2816497487,1,2816497487,1
2816532850,3,2816532850,0
2816685388,3,2816685388,0
2816690510,2,2816690510,1
2816834780,2,2816834780,0
2816855074,2,2816855074,1
2816979353,1,2816979353,1
2816993947,2,2816993947,0
2817069743,2,2817069743,1
2817109062,2,2817109062,0
2817177399,6,2817177399,0
2817252828,1,2817252828,1
2817660035,1,2817660035,1
2818558986,3,2818558986,1
2818857108,2,2818857108,1
2818940848,3,2818940848,0
2819000175,3,2819000175,0
2819134642,18,2819134642,1
2819377735,4,2819377735,1
2819638763,1,2819638763,0
2819650730,3,2819650730,0
2819751239,1,2819751239,0
2819798794,4,2819798794,0
2819976295,2,2819976295,1
2820738300,3,2820738300,0
2821503897,3,2821503897,1
2821659019,3,2821659019,1
2821716083,7,2821716083,1
2821981350,1,2821981350,0
2822168236,3,2822168236,0
2822270672,2,2822270672,0
2822394335,5,2822394335,0
2822545926,1,2822545926,1
2822592518,1,2822592518,1
2822603073,2,2822603073,0
2822630272,1,2822630272,1
2822921623,1,2822921623,1
2824074793,3,2824074793,0
2824270583,3,2824270583,0
2824328502,3,2824328502,0
2824360133,5,2824360133,0
2824427819,1,2824427819,1
2824804981,5,2824804981,0
2824824488,4,2824824488,0
2825676107,1,2825676107,0
2825700983,2,2825700983,0
2825733330,2,2825733330,1
2825734565,2,2825734565,1
2825772024,2,2825772024,0
2825786243,1,2825786243,1
2825796663,1,2825796663,1
2825827173,1,2825827173,1
2825851994,1,2825851994,1
2825860471,1,2825860471,1
2825888211,12,2825888211,0
2825988641,2,2825988641,1
2825989939,6,2825989939,0
2825991690,3,2825991690,0
2825992462,2,2825992462,1
2826018855,2,2826018855,0
2826132392,1,2826132392,0
2826303389,2,2826303389,0
2826890729,1,2826890729,1
2826904500,4,2826904500,0
2827070017,2,2827070017,0
2827635328,3,2827635328,1
2827713076,3,2827713076,1
2827862538,2,2827862538,0
2827936716,2,2827936716,0
2828443532,1,2828443532,1
2828572765,2,2828572765,1
2828939198,1,2828939198,1
2830596110,2,2830596110,0
2830967349,1,2830967349,0
2831136101,2,2831136101,0
2831492164,3,2831492164,1
2831592464,1,2831592464,0
2831622547,1,2831622547,0
2831659682,4,2831659682,1
2831690878,2,2831690878,1
2831826191,2,2831826191,1
2832330579,1,2832330579,0
2832531846,1,2832531846,0
2832575560,3,2832575560,0
2832678777,3,2832678777,0
2832745424,1,2832745424,0
2832949261,2,2832949261,1
2833310522,4,2833310522,0
2833722888,2,2833722888,1
2833741234,3,2833741234,0
2833789929,1,2833789929,0
2834062498,2,2834062498,1
2834302117,1,2834302117,0
2834352797,2,2834352797,1
2834395087,1,2834395087,0
2834465535,2,2834465535,1
2834594365,3,2834594365,0
2834670369,1,2834670369,1
2834747103,1,2834747103,1
2834803615,4,2834803615,0
2834928458,2,2834928458,0
2835570479,1,2835570479,1
2835588152,1,2835588152,0
2835589635,1,2835589635,0
2835623169,1,2835623169,1
2836119981,3,2836119981,0
2836251474,3,2836251474,0
2836434163,2,2836434163,1
2836446355,2,2836446355,1
2836582189,2,2836582189,0
2836598978,1,2836598978,1
2836651889,5,2836651889,0
2836723533,2,2836723533,1
2836834633,3,2836834633,1
2836932946,2,2836932946,1
2836994029,3,2836994029,0
2836998661,2,2836998661,1
2837285601,1,2837285601,1
2838744329,2,2838744329,0
2838755753,1,2838755753,0
2839176660,3,2839176660,1
2839235152,2,2839235152,0
2839243895,2,2839243895,0
2839268319,2,2839268319,0
2839273370,3,2839273370,1
2839339063,3,2839339063,1
2839342730,2,2839342730,0
2839377784,2,2839377784,1
2839409936,2,2839409936,0
2840014261,2,2840014261,1
2840161375,2,2840161375,1
2840202434,2,2840202434,1
2840370790,1,2840370790,1
2840453828,3,2840453828,0
2840469667,1,2840469667,0
2840501983,1,2840501983,1
2840519868,2,2840519868,1
2840540666,2,2840540666,0
2840922653,2,2840922653,0
2840926622,2,2840926622,0
2840948389,2,2840948389,0
2840957018,2,2840957018,0
2840961890,2,2840961890,0
2840965814,2,2840965814,0
2840970710,2,2840970710,0
2840986793,2,2840986793,0
2840989266,2,2840989266,0
2840993604,2,2840993604,0
2840996945,2,2840996945,0
2841002189,2,2841002189,0
2841020962,1,2841020962,0
2841023413,2,2841023413,0
2841023696,2,2841023696,0
2841027811,3,2841027811,0
2841035709,4,2841035709,1
2841184790,2,2841184790,0
2841314055,7,2841314055,1
2841428074,1,2841428074,1
2841642798,2,2841642798,0
2841678167,3,2841678167,0
2841681750,6,2841681750,1
2842178996,2,2842178996,1
2842228579,2,2842228579,1
2843181529,4,2843181529,0
2843312341,2,2843312341,0
2843318713,3,2843318713,1
2843334531,3,2843334531,0
2844078423,3,2844078423,0
2844229241,2,2844229241,0
2844243754,1,2844243754,0
2844251494,2,2844251494,0
2844421337,8,2844421337,0
2844823405,1,2844823405,0
2844977926,3,2844977926,0
2845056645,2,2845056645,0
2845114081,1,2845114081,0
2845136098,1,2845136098,1
2845335545,2,2845335545,1
2846355330,3,2846355330,0
2846430328,3,2846430328,0
2846430796,4,2846430796,0
2846503242,3,2846503242,0
2847298223,2,2847298223,0
2847876982,2,2847876982,0
2847911595,2,2847911595,0
2848656258,3,2848656258,1
2848696493,3,2848696493,0
2848928303,3,2848928303,0
2849317494,1,2849317494,0
2849418286,2,2849418286,0
2849430289,2,2849430289,0
2850305778,3,2850305778,0
2850852315,3,2850852315,0
2851725492,5,2851725492,0
2851878783,2,2851878783,0
2852313611,2,2852313611,0
2852331930,2,2852331930,1
2852373257,2,2852373257,0
2852521157,5,2852521157,1
2852540548,5,2852540548,0
2852546056,6,2852546056,1
2852554007,5,2852554007,0
2852623041,24,2852623041,0
2852724489,6,2852724489,1
2852781932,3,2852781932,0
2852832384,1,2852832384,0
2852999856,3,2852999856,0
2854427867,3,2854427867,0
2854433830,2,2854433830,1
2854490437,1,2854490437,0
2854516270,3,2854516270,0
2854538275,2,2854538275,0
2854586117,1,2854586117,1
2854640179,4,2854640179,0
2854654856,2,2854654856,0
2854721329,11,2854721329,0
2854753465,2,2854753465,0
2854857552,1,2854857552,1
2854995975,2,2854995975,0
2855276161,3,2855276161,0
2855278789,3,2855278789,0
2855302194,3,2855302194,0
2855360043,1,2855360043,1
2855372676,3,2855372676,0
2855375047,1,2855375047,1
2855377059,3,2855377059,1
2855386414,3,2855386414,1
2855407582,3,2855407582,1
2855417406,3,2855417406,1
2855550282,3,2855550282,0
2855564745,3,2855564745,0
2855657962,3,2855657962,0
2855672070,3,2855672070,0
2855709039,2,2855709039,0
2855878685,3,2855878685,1
2855893938,3,2855893938,0
2856344341,1,2856344341,0
2856396455,3,2856396455,0
2857103111,3,2857103111,0
2857168507,1,2857168507,1
2857171695,1,2857171695,1
2857279950,2,2857279950,0
2857959763,3,2857959763,0
2858429985,2,2858429985,1
2858594058,3,2858594058,0
2858602021,2,2858602021,0
2858921584,2,2858921584,1
2858974143,1,2858974143,0
2858986352,2,2858986352,0
2859077171,2,2859077171,0
2859112713,2,2859112713,0
2859152870,2,2859152870,1
2859315618,2,2859315618,0
2859359419,1,2859359419,0
2859612144,3,2859612144,0
2860366980,5,2860366980,0
2860434821,5,2860434821,0
2860524344,5,2860524344,0
2860598080,7,2860598080,0
2861225683,2,2861225683,0
2861250143,1,2861250143,1
2861541607,5,2861541607,0
2861606292,3,2861606292,1
2861659768,3,2861659768,1
2861673771,2,2861673771,0
2861747083,2,2861747083,0
2861748481,2,2861748481,0
2861751791,5,2861751791,1
2861780617,3,2861780617,0
2861793133,2,2861793133,0
2861829974,2,2861829974,0
2861830174,1,2861830174,1
2861932217,3,2861932217,1
2861953025,4,2861953025,0
2862089326,2,2862089326,1
2862138612,5,2862138612,1
2862179936,2,2862179936,1
2863029457,1,2863029457,0
2863059677,1,2863059677,0
2863133992,1,2863133992,0
2863178913,3,2863178913,1
2863193910,3,2863193910,1
2863301033,1,2863301033,0
2863364519,2,2863364519,0
2863371219,9,2863371219,1
2863598679,3,2863598679,1
2863655163,2,2863655163,1
2863678024,4,2863678024,0
2864468865,3,2864468865,1
2864511051,2,2864511051,0
2864543554,2,2864543554,1
2864552275,2,2864552275,1
2864603077,2,2864603077,1
2864646601,2,2864646601,0
2864744607,1,2864744607,1
2864832979,3,2864832979,0
2864881392,3,2864881392,0
2864966498,4,2864966498,1
2864977009,5,2864977009,1
2866064019,1,2866064019,0
2866186240,3,2866186240,0
2866198227,2,2866198227,1
2866201984,2,2866201984,1
2866203765,2,2866203765,1
2866205775,2,2866205775,1
2866209601,2,2866209601,1
2866530223,2,2866530223,0
2866645170,3,2866645170,1
2866718872,3,2866718872,0
2866881273,2,2866881273,0
2867049623,2,2867049623,0
2867059564,1,2867059564,1
2867245861,3,2867245861,0
2867739342,2,2867739342,0
2867925946,6,2867925946,1
2867959664,3,2867959664,1
2868356535,1,2868356535,0
2868408082,1,2868408082,0
2868792153,3,2868792153,0
2869463251,2,2869463251,1
2869721995,4,2869721995,0
2869803305,1,2869803305,0
2869820528,2,2869820528,1
2869934120,1,2869934120,0
2869957431,3,2869957431,1
2869959973,1,2869959973,0
2870022451,1,2870022451,0
2870047901,1,2870047901,0
2870152288,1,2870152288,0
2870333037,3,2870333037,0
2870344282,2,2870344282,1
2870521302,1,2870521302,0
2870860967,3,2870860967,1
2870989734,3,2870989734,0
2871083888,1,2871083888,0
2871205622,3,2871205622,1
2871239281,3,2871239281,1
2872803173,3,2872803173,0
2873094143,1,2873094143,0
2873234554,1,2873234554,0
2874003424,2,2874003424,0
2874011496,3,2874011496,0
2874312103,2,2874312103,1
2874576529,2,2874576529,0
2874930848,4,2874930848,0
2875791440,2,2875791440,1
2875828456,3,2875828456,0
2875837851,3,2875837851,1
2875841288,3,2875841288,0
2875895538,3,2875895538,0
2876006908,1,2876006908,0
2876362546,3,2876362546,0
2876371914,3,2876371914,1
2876464228,2,2876464228,0
2876473421,2,2876473421,0
2876474344,6,2876474344,0
2876474366,2,2876474366,0
2876476091,2,2876476091,0
2876482299,4,2876482299,0
2876483432,3,2876483432,0
2876533575,2,2876533575,0
2876727515,6,2876727515,1
2876762028,4,2876762028,1
2876865587,3,2876865587,1
2876998138,6,2876998138,1
2877052668,3,2877052668,1
2877141068,3,2877141068,0
2877977077,3,2877977077,0
2878399010,3,2878399010,0
2878438336,3,2878438336,0
2879247217,2,2879247217,0
2879262208,3,2879262208,0
2879357440,3,2879357440,0
2879427595,3,2879427595,0
2879573182,3,2879573182,0
2879620071,6,2879620071,1
2879676348,4,2879676348,1
2879700916,3,2879700916,1
2879706478,3,2879706478,1
2879754613,5,2879754613,1
2879921061,2,2879921061,0
